national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description
154,II,Meganium,Meganium,grass,,Herb Pokémon,88.1,11.9,1.8,100.5,45,5120,80,82,100,83,100,80,Overgrow,,,Leaf Guard,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Chikorita,Level ,Bayleef,Level ,Meganium,,,,,,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit."
155,II,Cyndaquil,Hinoarashi,fire,,Fire Mouse Pokémon,88.1,11.9,0.5,7.9,45,5120,39,52,43,60,50,65,Blaze,,,Flash Fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Cyndaquil,Level ,Quilava,Level ,Typhlosion,,,,,,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
156,II,Quilava,Magmarashi,fire,,Volcano Pokémon,88.1,11.9,0.9,19,45,5120,58,64,58,80,65,80,Blaze,,,Flash Fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Cyndaquil,Level ,Quilava,Level ,Typhlosion,,,,,,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
157,II,Typhlosion,Bakphoon,fire,,Volcano Pokémon,88.1,11.9,1.7,79.5,45,5120,78,84,78,109,85,100,Blaze,,,Flash Fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Cyndaquil,Level ,Quilava,Level ,Typhlosion,,,,,,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.
158,II,Totodile,Waninoko,water,,Big Jaw Pokémon,88.1,11.9,0.6,9.5,45,5120,50,65,64,44,48,43,Torrent,,,Sheer Force,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Totodile,Level ,Croconaw,Level ,Feraligatr,,,,,,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
159,II,Croconaw,Alligates,water,,Big Jaw Pokémon,88.1,11.9,1.1,25,45,5120,65,80,80,59,63,58,Torrent,,,Sheer Force,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Totodile,Level ,Croconaw,Level ,Feraligatr,,,,,,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
160,II,Feraligatr,Ordile,water,,Big Jaw Pokémon,88.1,11.9,2.3,88.8,45,5120,85,105,100,79,83,78,Torrent,,,Sheer Force,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Totodile,Level ,Croconaw,Level ,Feraligatr,,,,,,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
161,II,Sentret,Otachi,normal,,Scout Pokémon,50,50,0.8,6,255,3840,35,46,34,35,45,20,Run Away,Keen Eye,,Frisk,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Sentret,Level ,Furret,,,,,,,,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
162,II,Furret,Ootachi,normal,,Long Body Pokémon,50,50,1.8,32.5,90,3840,85,76,64,45,55,90,Run Away,Keen Eye,,Frisk,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Sentret,Level ,Furret,,,,,,,,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
163,II,Hoothoot,Hoho,normal,flying,Owl Pokémon,50.2,49.8,0.7,21.2,255,3840,60,30,30,36,56,50,Insomnia,Keen Eye,,Tinted Lens,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Hoothoot,Level ,Noctowl,,,,,,,,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
164,II,Noctowl,Yorunozuku,normal,flying,Owl Pokémon,50.2,49.8,1.6,40.8,90,3840,100,50,50,86,96,70,Insomnia,Keen Eye,,Tinted Lens,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0,0,0,Hoothoot,Level ,Noctowl,,,,,,,,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.
165,II,Ledyba,Rediba,bug,flying,Five Star Pokémon,50,50,1,10.8,255,3840,40,20,30,40,80,55,Swarm,Early Bird,,Rattled,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Ledyba,Level ,Ledian,,,,,,,,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively."
166,II,Ledian,Redian,bug,flying,Five Star Pokémon,50,50,1.4,35.6,90,3840,55,35,50,55,110,85,Swarm,Early Bird,,Iron Fist,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Ledyba,Level ,Ledian,,,,,,,,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear."
167,II,Spinarak,Itomaru,bug,poison,String Spit Pokémon,50,50,0.5,8.5,255,3840,40,60,40,40,40,30,Swarm,Insomnia,,Sniper,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Spinarak,Level ,Ariados,,,,,,,,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them."
168,II,Ariados,Ariados,bug,poison,Long Leg Pokémon,50,50,1.1,33.5,90,3840,70,90,70,60,70,40,Swarm,Insomnia,,Sniper,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0,0,0,Spinarak,Level ,Ariados,,,,,,,,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs."
169,II,Crobat,Crobat,poison,flying,Bat Pokémon,50.2,49.8,1.8,75,90,3840,85,90,80,70,80,130,Inner Focus,,,Infiltrator,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,0,0,0,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,,,,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck."
170,II,Chinchou,Chonchie,water,electric,Angler Pokémon,50.2,49.8,0.5,12,190,5120,75,38,38,56,56,67,Volt Absorb,Illuminate,,Water Absorb,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,0,0,0,Chinchou,Level ,Lanturn,,,,,,,,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them."
171,II,Lanturn,Lantern,water,electric,Light Pokémon,50.2,49.8,1.2,22.5,75,5120,125,58,58,76,76,67,Volt Absorb,Illuminate,,Water Absorb,1,0.5,0.5,1,2,0.5,1,1,2,0.5,1,1,1,1,1,1,0.25,1,0,0,0,Chinchou,Level ,Lanturn,,,,,,,,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.
172,II,Pichu,Pichu,electric,,Tiny Mouse Pokémon,50.2,49.8,0.3,2,190,2560,20,40,15,35,35,60,Static,,,Lightning Rod,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,,,,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself."
173,II,Cleffa,Py,fairy,,Star Shape Pokémon,24.9,75.1,0.3,3,150,2560,50,25,28,45,55,15,Cute Charm,Magic Guard,,Friend Guard,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,,,,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen."
174,II,Igglybuff,Pupurin,normal,fairy,Balloon Pokémon,24.9,75.1,0.3,1,170,2560,90,30,15,40,20,15,Cute Charm,Competitive,,Friend Guard,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,0,0,0,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,,,,Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.
175,II,Togepi,Togepy,fairy,,Spike Ball Pokémon,88.14,11.86,0.3,1.5,190,2560,35,20,65,40,65,20,Hustle,Serene Grace,,Super Luck,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Togepi,Level Up with Happiness Value at 220,Togetic,Use Shiny Stone,Togekiss,,,,,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
176,II,Togetic,Togechick,fairy,flying,Happiness Pokémon,88.14,11.86,0.6,3.2,75,2560,55,40,85,80,105,40,Hustle,Serene Grace,,Super Luck,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1,0,0,0,Togepi,Level Up with Happiness Value at 220,Togetic,Use Shiny Stone,Togekiss,,,,,,"They say that it will appear before kindhearted, caring people and shower them with happiness."
177,II,Natu,Naty,psychic,flying,Little Bird Pokémon,50.2,49.8,0.2,2,190,5120,40,50,45,70,45,70,Synchronize,Early Bird,,Magic Bounce,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,0,0,Natu,Level ,Xatu,,,,,,,,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.
178,II,Xatu,Natio,psychic,flying,Mystic Pokémon,50.2,49.8,1.5,15,75,5120,65,75,70,95,70,95,Synchronize,Early Bird,,Magic Bounce,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1,0,0,0,Natu,Level ,Xatu,,,,,,,,They say that it stays still and quiet because it is seeing both the past and future at the same time.
179,II,Mareep,Merriep,electric,,Wool Pokémon,50,50,0.6,7.8,235,5120,55,40,40,65,45,35,Static,,,Plus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Mareep,Level ,Flaaffy,Level ,Ampharos,,,,,,"Clothing made from Mareep’s fleece is easily charged with static electricity, so a special process is used on it."
180,II,Flaaffy,Mokoko,electric,,Wool Pokémon,50,50,0.8,13.3,120,5120,70,55,55,80,60,45,Static,,,Plus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Mareep,Level ,Flaaffy,Level ,Ampharos,,,,,,"In the places on its body where fleece doesn’t grow, its skin is rubbery and doesn’t conduct electricity. Those spots are safe to touch."
181,II,Ampharos,Denryu,electric,,Light Pokémon,50,50,1.4,61.5,45,5120,90,75,85,115,90,55,Static,,,Plus,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0,0,0,Mareep,Level ,Flaaffy,Level ,Ampharos,,,,Mega Ampharos,,"The light from its tail can be seen from space. This is why you can always tell exactly where it is, which is why it usually keeps the light off."
182,II,Bellossom,Kireihana,grass,,Flower Pokémon,50.2,49.8,0.4,5.8,45,5120,75,80,95,90,100,50,Chlorophyll,,,Healer,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Oddish,Level,Gloom,Use Sun Stone,Bellossom,,,,,,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
183,II,Marill,Maril,water,fairy,Aquamouse Pokémon,50.2,49.8,0.4,8.5,190,2560,70,20,50,20,50,40,Thick Fat,Huge Power,,Sap Sipper,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,0,0,0,Azurill,Level Up with Happiness Value at 220,Marill,Level ,Azumarill,,,,,,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.
184,II,Azumarill,Marilli,water,fairy,Aquarabbit Pokémon,50.2,49.8,0.8,28.5,75,2560,100,50,80,60,80,50,Thick Fat,Huge Power,,Sap Sipper,1,0.5,0.5,2,2,0.5,0.5,2,1,1,1,0.5,1,1,0,0.5,1,1,0,0,0,Azurill,Level Up with Happiness Value at 220,Marill,Level ,Azumarill,,,,,,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes."
185,II,Sudowoodo,Usokkie,rock,,Imitation Pokémon,50.2,49.8,1.2,38,65,5120,70,100,115,30,65,30,Sturdy,Rock Head,,Rattled,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1,0,0,0,Bonsly,Level up while knowing  Mimic,Sudowoodo,,,,,,,,"If a tree branch shakes when there is no wind, it’s a Sudowoodo, not a tree. It hides from the rain."
186,II,Politoed,Nyorotono,water,,Frog Pokémon,50.2,49.8,1.1,33.9,45,5120,90,75,75,90,100,70,Water Absorb,Damp,,Drizzle,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0,0,0,Poliwag,Level,Poliwhirl,Trade with  King's Rock,Politoed,,,,,,"At nightfall, these Pokémon appear on the shores of lakes. They announce their territorial claims by letting out cries that sound like shouting."
187,II,Hoppip,Hanecco,grass,flying,Cottonweed Pokémon,50,50,0.4,0.5,255,5120,35,35,40,35,55,50,Chlorophyll,Leaf Guard,,Infiltrator,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0,0,0,Hoppip,Level ,Skiploom,Level ,Jumpluff,,,,,,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away."
188,II,Skiploom,Popocco,grass,flying,Cottonweed Pokémon,50,50,0.6,1,120,5120,55,45,50,45,65,80,Chlorophyll,Leaf Guard,,Infiltrator,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0,0,0,Hoppip,Level ,Skiploom,Level ,Jumpluff,,,,,,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
189,II,Jumpluff,Watacco,grass,flying,Cottonweed Pokémon,50,50,0.8,3,45,5120,75,55,70,55,95,110,Chlorophyll,Leaf Guard,,Infiltrator,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1,0,0,0,Hoppip,Level ,Skiploom,Level ,Jumpluff,,,,,,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
190,II,Aipom,Eipam,normal,,Long Tail Pokémon,50,50,0.8,11.5,45,5120,55,70,55,40,55,85,Run Away,Pickup,,Skill Link,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Aipom,Level up while knowing  Double Hit,Ambipom,,,,,,,,"As it did more and more with its tail, its hands became clumsy. It makes its nest high in the treetops."
191,II,Sunkern,Himanuts,grass,,Seed Pokémon,50,50,0.3,1.8,235,5120,30,30,30,30,30,30,Chlorophyll,Solar Power,,Early Bird,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Sunkern,Use Sun Stone,Sunflora,,,,,,,,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
192,II,Sunflora,Kimawari,grass,,Sun Pokémon,50,50,0.8,8.5,120,5120,75,75,55,105,85,30,Chlorophyll,Solar Power,,Early Bird,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,0,0,0,Sunkern,Use Sun Stone,Sunflora,,,,,,,,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
193,II,Yanma,Yanyanma,bug,flying,Clear Wing Pokémon,50,50,1.2,38,75,5120,65,65,45,75,45,95,Speed Boost,Compound Eyes,,Frisk,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0,0,0,Yanma,Level up while knowing  Ancient Power,Yanmega,,,,,,,,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
194,II,Wooper,Upah,water,ground,Water Fish Pokémon,50.2,49.8,0.4,8.5,255,5120,55,45,45,25,25,15,Damp,Water Absorb,,Unaware,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Wooper,Level ,Quagsire,,,,,,,,This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
195,II,Quagsire,Nuoh,water,ground,Water Fish Pokémon,50.2,49.8,1.4,75,90,5120,95,85,85,65,65,35,Damp,Water Absorb,,Unaware,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0,Wooper,Level ,Quagsire,,,,,,,,It has an easygoing nature. It doesn’t care if it bumps its head on boats and boulders while swimming.
196,II,Espeon,Eifie,psychic,,Sun Pokémon,88.14,11.86,0.9,26.5,45,8960,65,65,60,130,95,110,Synchronize,,,Magic Bounce,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Eevee,,,,,,,,,,"By reading air currents, it can predict things such as the weather or its foe’s next move."
197,II,Umbreon,Blacky,dark,,Moonlight Pokémon,88.14,11.86,1,27,45,8960,95,65,110,60,130,65,Synchronize,,,Inner Focus,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,0,0,0,Eevee,,,,,,,,,,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes."
198,II,Murkrow,Yamikarasu,dark,flying,Darkness Pokémon,50,50,0.5,2.1,30,5120,60,85,42,85,42,91,Insomnia,Super Luck,,Prankster,1,1,1,2,0.5,2,1,1,0,1,0,1,2,0.5,1,0.5,1,2,0,0,0,Murkrow,Use Dusk Stone,Honchkrow,,,,,,,,It has a weakness for shiny things. It’s been known to sneak into the nests of Gabite—noted collectors of jewels—in search of treasure.
199,II,Slowking,Yadoking,water,psychic,Royal Pokémon,50.2,49.8,2,79.5,70,5120,95,75,80,100,110,30,Oblivious,Own Tempo,,Regenerator,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,0,0,0,Slowpoke,Level,Slowbro,Trade with  King's Rock,Slowking,,,,,,"Miraculously, this former Slowpoke’s latent intelligence was drawn out when Shellder poison raced through its brain."
200,II,Misdreavus,Muma,ghost,,Screech Pokémon,50,50,0.7,1,45,6400,60,60,60,85,85,85,Levitate,,,,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1,0,0,0,Misdreavus,Use Dusk Stone,Mismagius,,,,,,,,"What gives meaning to its life is surprising others. If you set your ear against the red orbs around its neck, you can hear shrieking."
201,II,Unown,Unknown,psychic,,Symbol Pokémon,,,0.5,5,225,10240,48,72,48,72,48,48,Levitate,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Unown,,,,,,,,,,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
202,II,Wobbuffet,Sonans,psychic,,Patient Pokémon,50.2,49.8,1.3,28.5,45,5120,190,33,58,33,58,33,Shadow Tag,,,Telepathy,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,0,0,0,Wynaut,Level ,Wobbuffet,,,,,,,,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
203,II,Girafarig,Kirinriki,normal,psychic,Long Neck Pokémon,50,50,1.5,41.5,60,5120,70,80,65,90,65,85,Inner Focus,Early Bird,,Sap Sipper,1,1,1,1,1,1,1,1,1,1,0.5,2,1,0,1,2,1,1,0,0,0,Girafarig,,,,,,,,,,"Girafarig’s rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
204,II,Pineco,Kunugidama,bug,,Bagworm Pokémon,50,50,0.6,7.2,190,5120,50,65,90,35,35,15,Sturdy,,,Overcoat,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0,0,0,Pineco,Level ,Forretress,,,,,,,,"Motionless, it hangs from trees, waiting for its bug Pokémon prey to come to it. Its favorite in Alola is Cutiefly."
205,II,Forretress,Foretos,bug,steel,Bagworm Pokémon,50,50,1.2,125.8,75,5120,75,90,140,60,60,40,Sturdy,,,Overcoat,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0,0,0,Pineco,Level ,Forretress,,,,,,,,"When something approaches it, it fires off fragments of its steel shell in attack. This is not a conscious action but a conditioned reflex."
206,II,Dunsparce,Nokocchi,normal,,Land Snake Pokémon,50.2,49.8,1.5,14,190,5120,100,70,70,65,65,45,Serene Grace,Run Away,,Rattled,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Dunsparce,,,,,,,,,,This Pokémon’s tiny wings have some scientists saying that Dunsparce used to fly through the sky in ancient times.
207,II,Gligar,Gliger,ground,flying,Flyscorpion Pokémon,50,50,1.1,64.8,60,5120,65,75,105,35,65,85,Hyper Cutter,Sand Veil,,Immunity,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,0,0,0,Gligar,Level up during the night while holding  Razor Fang,Gliscor,,,,,,,,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
208,II,Steelix,Haganeil,steel,ground,Iron Snake Pokémon,50.2,49.8,9.2,400,25,6400,75,85,200,55,65,30,Rock Head,Sturdy,,Sheer Force,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,0,0,0,Onix,Trade with  Metal Coat,Steelix,,,,,,Mega Steelix,,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
209,II,Snubbull,Bulu,fairy,,Fairy Pokémon,24.6,75.4,0.6,7.8,190,5120,60,80,50,40,40,30,Intimidate,Run Away,,Rattled,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Snubbull,Level ,Granbull,,,,,,,,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
210,II,Granbull,Granbulu,fairy,,Fairy Pokémon,24.6,75.4,1.4,48.7,75,5120,90,120,75,60,60,45,Intimidate,Quick Feet,,Rattled,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,0,0,0,Snubbull,Level ,Granbull,,,,,,,,"While it has powerful jaws, it doesn’t care for disputes, so it rarely has a chance to display their might."
211,II,Qwilfish,Harysen,water,poison,Balloon Pokémon,50.2,49.8,0.5,3.9,45,5120,65,95,85,55,55,85,Poison Point,Swift Swim,,Intimidate,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,0,0,0,Qwilfish,,,,,,,,,,"When faced with a larger opponent, it swallows as much water as it can to match the opponent’s size."
212,II,Scizor,Hassam,bug,steel,Pincer Pokémon,50.2,49.8,1.8,118,25,6400,70,130,100,55,80,65,Swarm,Technician,,Light Metal,0.5,4,1,1,0.25,0.5,1,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,0,0,0,Scyther,Trade with  Metal Coat,Scizor,,,,,,Mega Scizor,,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
213,II,Shuckle,Tsubotsubo,bug,rock,Mold Pokémon,50.2,49.8,0.6,20.5,190,5120,20,10,230,10,230,5,Sturdy,Gluttony,,Contrary,0.5,1,2,1,1,1,1,0.5,1,1,1,1,2,1,1,1,2,1,0,0,0,Shuckle,,,,,,,,,,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
214,II,Heracross,Heracros,bug,fighting,Singlehorn Pokémon,50.2,49.8,1.5,54,45,6400,80,125,75,40,95,85,Swarm,Guts,,Moxie,1,2,1,1,0.5,1,0.5,1,0.5,4,2,0.5,1,1,1,0.5,1,2,0,0,0,Heracross,,,,,,,,Mega Heracross,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
215,II,Sneasel,Nyula,dark,ice,Sharp Claw Pokémon,50.2,49.8,0.9,28,60,5120,55,95,55,35,75,115,Inner Focus,Keen Eye,,Pickpocket,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2,0,0,0,Sneasel,Level up during the night while holding  Razor Claw,Weavile,,,,,,,,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
216,II,Teddiursa,Himeguma,normal,,Little Bear Pokémon,50,50,0.6,8.8,120,5120,60,80,50,50,50,40,Pickup,Quick Feet,,Honey Gather,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Teddiursa,Level ,Ursaring,,,,,,,,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
217,II,Ursaring,Ringuma,normal,,Hibernator Pokémon,50,50,1.8,125.8,60,5120,90,130,75,75,75,55,Guts,Quick Feet,,Unnerve,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Teddiursa,Level ,Ursaring,,,,,,,,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
218,II,Slugma,Magmag,fire,,Lava Pokémon,50,50,0.7,35,190,5120,40,40,40,70,40,20,Magma Armor,Flame Body,,Weak Armor,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,,,,"Molten magma courses throughout Slugma’s circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
219,II,Magcargo,Magcargot,fire,rock,Lava Pokémon,50,50,0.8,55,75,5120,60,50,120,90,80,30,Magma Armor,Flame Body,,Weak Armor,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5,0,0,0,Slugma,Level ,Magcargo,,,,,,,,Magcargo’s shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma.
220,II,Swinub,Urimoo,ice,ground,Pig Pokémon,50.2,49.8,0.4,6.5,225,5120,50,50,40,30,30,50,Oblivious,Snow Cloak,,Thick Fat,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1,0,0,0,Swinub,Level ,Piloswine,Level up while knowing  Ancient Power,Mamoswine,,,,,,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
